employee_id,age,education_years,experience_years,training_hours,region,annual_salary_k
5001,46,20.6,17.1,33,Urban,79.1
5002,22,12.6,0.5,41,Urban,54.1
5003,32,17,9.7,46,Rural,65.1
5004,28,18.7,5.9,28,Rural,50.2
5005,22,15.5,3.6,31,Suburban,47.7
5006,31,15.4,8.9,36,Rural,55.3
5007,40,14.8,15.2,35,Rural,61.7
5008,30,16.8,1.3,51,Suburban,61.5
5009,24,16.1,7.6,33,Suburban,63.2
5010,33,15,11.2,18,Rural,67.2
5011,28,14,2.4,39,Suburban,37.2
5012,29,18.5,9.7,3,Urban,83.4
5013,22,13.7,2.4,12,Urban,54.5
5014,35,15.9,8,26,Suburban,57.6
5015,31,15.2,6.7,29,Suburban,50.3
5016,42,17.6,14,49,Suburban,77.3
5017,36,18.4,11,32,Rural,73.7
5018,28,16.2,5,27,Urban,65.2
5019,35,17.1,6.4,41,Urban,72.8
5020,23,14.8,1.7,39,Suburban,51.2
5021,40,19.9,10.6,40,Urban,74.3
5022,24,14.5,0,46,Urban,49.7
5023,38,21.1,12.2,42,Urban,70
5024,23,12.8,2.1,30,Rural,42.3
5025,28,15.1,3.1,22,Rural,54.6
5026,33,16.5,8.4,11,Urban,75.1
5027,29,15.5,5.8,41,Urban,62.9
5028,22,10.4,2.2,32,Urban,38
5029,35,18.7,6.2,43,Urban,67.6
5030,38,15,14.7,28,Suburban,68.1
5031,31,18.8,4.9,37,Urban,77.2
5032,22,14.9,0,32,Rural,46.5
5033,38,17.1,14.5,8,Urban,78.9
5034,29,18.3,1.5,25,Suburban,59.6
5035,25,14.1,4.5,0,Urban,55.2
5036,37,18.2,12,31,Suburban,70.9
5037,33,16.5,8.2,75,Suburban,69.6
5038,27,15.6,9.3,47,Urban,66.5
5039,32,20.2,8.1,51,Urban,75.9
5040,31,20.1,4.4,26,Urban,64.7
5041,43,20.9,10.6,18,Urban,80
5042,30,16.4,7.3,24,Rural,47
5043,23,12.9,0,41,Urban,45.7
5044,29,12.4,9.4,14,Urban,62.6
5045,29,16.7,5.7,66,Rural,55.1
5046,33,14.7,10.6,22,Suburban,61.7
5047,31,16.9,7.8,26,Suburban,58.2
5048,23,15.1,1.5,48,Urban,49.9
5049,22,12.5,0.8,37,Urban,50.5
5050,31,16.2,10.6,43,Urban,78.1
5051,33,19,3.8,0,Suburban,54.1
5052,23,15.3,2.3,25,Rural,52.5
5053,25,14.7,6.5,29,Urban,65.3
5054,27,13.2,10,30,Suburban,48.5
5055,34,16.4,10.3,56,Suburban,72.1
5056,29,16.9,4.9,21,Urban,58
5057,28,15.8,6.4,34,Rural,61.1
5058,37,17,17.1,56,Rural,71.5
5059,27,18.7,0.6,0,Urban,60.6
5060,23,17.3,2.6,9,Urban,76.3
5061,25,10.1,7.7,24,Suburban,44
5062,30,18.7,11.2,16,Rural,56.9
5063,31,16.4,5.2,12,Suburban,55.1
5064,27,13,6.8,34,Urban,62.6
5065,36,17.2,14.2,52,Urban,87.4
5066,28,14.2,9.4,11,Rural,61
5067,30,13.6,12.2,47,Rural,58.3
5068,25,16.7,0,15,Suburban,46.9
5069,26,18.1,2.3,22,Suburban,47.9
5070,40,19.1,10.9,46,Urban,71.4
5071,38,15.7,17.7,40,Urban,77.1
5072,38,16.7,12.8,30,Urban,78.4
5073,43,15.2,17.4,30,Suburban,78.4
5074,25,13.8,6.8,29,Urban,53.4
5075,31,10.2,13.1,11,Suburban,48.2
5076,25,18.1,3.4,48,Urban,66.8
5077,22,16.7,4.5,39,Urban,65.5
5078,33,17.2,8.4,2,Urban,66.6
5079,37,15.9,14.2,45,Suburban,60.5
5080,31,17.4,5.7,10,Suburban,49.4
5081,25,14.5,8.2,40,Urban,68.9
5082,39,18.9,13.4,10,Rural,72.6
5083,22,18.6,1.2,60,Suburban,57.2
5084,38,19.4,14.3,49,Urban,81.9
5085,37,13.9,13.2,45,Urban,74.2
5086,28,17.4,8.6,40,Rural,63.5
5087,41,15,18.1,11,Urban,66.2
5088,22,15.1,3.1,14,Urban,56
5089,32,16.4,8.5,50,Urban,62.2
5090,31,15.5,12.7,38,Urban,73.4
5091,25,12.4,9.7,37,Suburban,54
5092,22,17.3,2.1,18,Urban,53.7
5093,30,17.4,5.2,22,Suburban,58
5094,22,16.3,0.8,25,Suburban,46.4
5095,36,16.2,13.1,38,Urban,65.4
5096,33,13.8,13.8,48,Rural,65.5
5097,22,17,2.7,61,Rural,52.5
5098,36,19.9,11,30,Suburban,78.5
5099,22,13.5,0,35,Suburban,52.6
5100,23,15,1,19,Urban,57.5
5101,28,14.5,7.3,0,Suburban,43.2
5102,30,14.5,5.7,40,Rural,56.1
5103,29,17.5,4.6,5,Suburban,49.3
5104,34,19.5,8,23,Urban,76.1
5105,28,19.4,1.1,31,Urban,56.8
5106,22,13.1,2.2,38,Suburban,46.6
5107,33,15.9,11.6,29,Urban,72.6
5108,23,15.1,0.3,44,Urban,52.7
5109,45,18.6,19.6,46,Urban,83.2
5110,31,19.3,3.9,21,Rural,57.4
5111,23,15,5.8,14,Suburban,51.5
5112,25,12.1,7.4,36,Suburban,53.7
5113,37,17.3,11.1,33,Suburban,67.5
5114,27,15.9,3.4,33,Suburban,46.7
5115,26,18,0,38,Suburban,69.2
5116,30,17.1,4.8,5,Urban,66.1
5117,36,16.4,12.6,25,Urban,73.1
5118,30,14.5,6.4,55,Suburban,54.3
5119,25,13.6,8,23,Urban,64.8
5120,35,17.7,9.3,37,Urban,67.7
5121,29,14,8.5,19,Rural,52.3
5122,27,16.1,5.8,46,Rural,55.3
5123,36,15,14,32,Urban,71.4
5124,24,14.1,3.6,16,Urban,63.9
5125,24,11.8,9.8,55,Urban,60.2
5126,25,17.6,4.1,0,Urban,66.6
5127,36,19.7,7.7,16,Urban,72
5128,33,12.3,16.6,43,Urban,64.8
5129,40,18.9,12.5,14,Urban,86.8
5130,29,10.7,9.7,11,Suburban,53.2
5131,33,18.1,6.9,8,Urban,55.4
5132,38,15,16.4,22,Urban,69.7
5133,38,16.3,11.9,31,Suburban,59.9
5134,31,15,8.4,9,Urban,55.2
5135,35,21.7,3.6,36,Rural,58.2
5136,27,15.6,2.8,37,Urban,59
5137,27,11.6,9.8,40,Suburban,55.9
5138,29,16.8,6.7,13,Urban,66.4
5139,36,19.4,10.2,36,Rural,67
5140,26,13.7,4.6,15,Rural,46.4
5141,27,18.5,5.4,28,Urban,74.8
5142,22,11.2,9.2,33,Urban,53.4
5143,37,19.4,11.7,56,Rural,74.4
5144,22,13.5,4.8,47,Rural,56.8
5145,30,17.9,8,41,Suburban,71.1
5146,33,17.7,8.7,53,Urban,67.6
5147,31,18.6,5.5,16,Urban,62
5148,38,19.1,8.8,19,Suburban,64.4
5149,38,17.8,18,31,Suburban,79.3
5150,35,13.9,19.6,46,Urban,83.4
5151,23,14.8,0,40,Suburban,48.4
5152,25,14.6,8.7,34,Urban,72.2
5153,31,16.6,7.3,53,Suburban,67.1
5154,30,14.5,14.4,38,Suburban,61.4
5155,27,15.1,8.5,32,Suburban,64.3
5156,30,17.5,4.9,25,Suburban,47.6
5157,36,19.6,14.4,44,Suburban,75.5
5158,33,15.5,11.5,16,Urban,54.1
5159,24,16.3,0.3,40,Urban,58.3
5160,22,16.1,2.6,41,Suburban,61.2
5161,36,16.3,12.2,34,Suburban,70.2
5162,35,17.7,7.8,49,Rural,48.8
5163,25,16.4,2.7,57,Urban,65
5164,32,17.4,9.1,17,Suburban,65.5
5165,42,16.1,16.6,40,Urban,81.5
5166,22,11.8,8.5,19,Urban,59.6
5167,32,16,8.1,36,Suburban,65.5
5168,40,17.6,16.9,25,Rural,61.3
5169,30,14.4,8,22,Urban,60.2
5170,39,18.1,15.6,26,Urban,73.5
5171,25,13.7,8.4,39,Urban,61.8
5172,30,15.4,7.6,33,Urban,65
5173,27,15.7,4.2,28,Urban,54.2
5174,22,11.5,0.5,49,Urban,47
5175,24,14.1,8.2,48,Urban,67.4
5176,29,13.1,9.6,33,Urban,58.3
5177,25,15.3,2.9,8,Urban,51.4
5178,23,16.8,5.4,0,Urban,59
5179,22,11.6,7,26,Urban,62
5180,22,14.2,0,40,Suburban,46.2
5181,29,16.7,5.2,14,Urban,50.9
5182,25,18.3,0,49,Rural,48.7
5183,29,18.4,5.8,17,Urban,65.4
5184,31,15.6,8,51,Urban,56.9
5185,41,15.7,13.7,50,Suburban,63.8
5186,22,17.7,0,43,Rural,47.2
5187,23,17.1,3.1,19,Urban,70.7
5188,40,18.7,11.5,55,Urban,82.4
5189,24,13.2,10.7,28,Suburban,52.5
5190,23,17,6.3,28,Urban,58.7
5191,43,17.2,17.3,31,Suburban,65.8
5192,29,17.9,5.3,9,Rural,54.5
5193,25,10.9,12.4,42,Suburban,56.5
5194,33,16,12.5,49,Urban,64.4
5195,24,17.8,0,44,Urban,62.6
5196,34,18.1,10.5,26,Urban,77.3
5197,35,18,9.9,21,Suburban,67.2
5198,22,11.2,1.9,22,Urban,47.1
5199,31,14.4,16.4,53,Suburban,78.3
5200,25,17.2,7,47,Urban,70.2
5201,40,14.6,16.7,28,Urban,73.7
5202,22,12.9,0.8,22,Rural,45.4
5203,23,14,4.4,12,Urban,45.4
5204,25,15.4,11,26,Suburban,70.5
5205,25,16.9,6,22,Urban,63.8
5206,36,15.6,14.1,51,Rural,65.7
5207,24,14.3,5.7,6,Suburban,54.1
5208,24,17.8,0,30,Urban,52
5209,34,13.5,13.7,54,Urban,65.4
5210,30,19.1,6.7,31,Suburban,66.5
5211,36,14.8,8.1,26,Suburban,59.7
5212,29,17.7,6.6,4,Suburban,49.4
5213,35,15.2,11.8,45,Suburban,63.8
5214,40,21.7,11.6,28,Suburban,69.1
5215,30,18.6,0,19,Suburban,50.9
5216,33,18.5,10,43,Urban,67.5
5217,22,13.5,0,29,Urban,54.6
5218,29,15.8,8.7,9,Rural,54.9
5219,30,15.6,7,37,Suburban,52.5
5220,32,13.5,10.9,45,Urban,68
5221,22,18.1,0,21,Suburban,52.5
5222,33,19.6,6.8,58,Urban,73.8
5223,33,14.4,17.5,14,Urban,62
5224,44,14.3,19,61,Urban,72.5
5225,29,18.4,0.8,25,Urban,58
5226,30,17.2,4.8,62,Rural,54.3
5227,24,17,1.1,33,Urban,55.8
5228,27,16.2,6.3,28,Urban,65.7
5229,35,14.2,13.3,17,Urban,69.5
5230,31,14.4,12.8,24,Urban,65.3
5231,22,17,3.9,9,Urban,55.9
5232,28,16.5,3.9,20,Urban,48.2
5233,22,13.9,0,49,Rural,45.2
5234,32,18.1,4.1,19,Urban,59.3
5235,30,15.3,11,50,Rural,59.3
5236,36,18.7,8.9,28,Urban,73.8
5237,34,17.3,12.7,32,Suburban,60
5238,36,17.6,12.1,32,Urban,76.7
5239,37,16.9,12.9,19,Rural,56.4
5240,35,17.2,11.9,46,Rural,57.1
5241,23,16.1,3.4,24,Urban,52.5
5242,33,13.2,11.1,20,Rural,46.8
5243,22,14.8,2.1,51,Urban,57.5
5244,27,17.2,0,23,Urban,66.7
5245,22,17.2,0,13,Suburban,59.4
5246,34,18.6,6.8,23,Urban,65
5247,29,12.9,11.8,40,Urban,63.4
5248,32,16.3,10.7,24,Urban,75
5249,22,16.9,0,35,Urban,62.9
5250,31,18.8,6.2,40,Urban,64.2
